panel,reaction_family,case_count,expected_generated_count,expected_in_candidate_pool_count,candidate_pool_recall,connectivity_top5_hit_count,stereo_mismatch_top5_count,top5_hit_count,top5_hit_rate,benchmark_traceable_count,benchmark_traceability_rate,model_evidence_count,model_evidence_rate,top_failure_type,production_gap,recommended_next_action
challenge,isoflavone_reduction,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,isoflavone_reductive_metabolism,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,lignan_deglucosylation,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,lignan_multistep_demethylation_dehydroxylation,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,lignan_oxidation,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,phenolic_ester_hydrolysis,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
challenge,stilbene_dehydroxylation,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
challenge,stilbene_reduction,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
challenge,urolithin_dehydroxylation,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
all,ellagitannin_hydrolysis,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,ellagitannin_urolithin_multistep,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,flavanol_ring_fission,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,flavanone_ring_fission,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,flavonol_ring_fission,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,gallate_decarboxylation,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
all,glycoside_hydrolysis,6,6,6,1.0,6,0,6,1.0,6,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
all,hydroxycinnamate_reduction,3,3,3,1.0,3,0,3,1.0,3,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
all,isoflavone_c_glycoside_conversion,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,isoflavone_deglucosylation,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
all,isoflavone_reduction,2,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,isoflavone_reductive_metabolism,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,lignan_deglucosylation,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,lignan_multistep_demethylation_dehydroxylation,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,lignan_oxidation,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,phenolic_ester_hydrolysis,1,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,expected_product_not_generated,candidate_generation_blocked,Add curated reaction-family candidate generation before tuning the ranker.
all,stilbene_dehydroxylation,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
all,stilbene_reduction,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
all,urolithin_dehydroxylation,1,1,1,1.0,1,0,1,1.0,1,1.0,0,0.0,hit_top5_benchmark_only,evidence_integration_blocked,"Attach independent enzyme, microbe, strain, or literature evidence to matched products."
