row_id,gap_family,candidate_status,module,substrate_name,product_name,sb,pb,in_reactions_parquet,reaction_tiers,selected_by_clean_builder,target_in_clean_positive,same_substrate_in_clean_candidates_full,clean_positive_products_for_substrate,truth_products_for_substrate,fullrule_pair_status,fullrule_pair_hit,fullrule_same_substrate_hits,exact_holdout_pair,source_id,validation_status_round2,route_loss_stage,recommended_fix
round2_ellagitannin_urolithin_multistep_0011,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin C,urolithin A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,True,gold,True,False,False,0,2,pair_hit,1,2,False,PMID:39856097;DOI:10.1038/s41467-025-56266-2,spot_checked,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_ellagitannin_urolithin_multistep_0012,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin A,urolithin B,RIUPLDUFZCXCHM,WXUQMTRHPNOXBV,True,gold,True,False,False,0,1,pair_hit,1,1,False,PMID:29583112;DOI:10.1099/ijsem.0.002735,spot_checked,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_ellagitannin_urolithin_multistep_0013,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin C,isourolithin A,HHXMEXZVPJFAIJ,WDGSXHQNUPZEHA,True,gold,True,False,False,0,2,pair_hit,1,2,False,PMID:29583112;DOI:10.1099/ijsem.0.002735,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_ellagitannin_urolithin_multistep_0014,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,isourolithin A,urolithin B,WDGSXHQNUPZEHA,WXUQMTRHPNOXBV,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:29583112;DOI:10.1099/ijsem.0.002735,local_source_present_needs_external_check,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate."
round2_ellagitannin_urolithin_multistep_0015,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin C,urolithin A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,True,gold,True,False,False,0,2,pair_hit,1,2,False,PMID:39856097;DOI:10.1038/s41467-025-56266-2,spot_checked,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_ellagitannin_urolithin_multistep_0016,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,isourolithin A,urolithin B,WDGSXHQNUPZEHA,WXUQMTRHPNOXBV,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:39856097;DOI:10.1038/s41467-025-56266-2,local_source_present_needs_external_check,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate."
round2_ellagitannin_urolithin_multistep_0017,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin D,urolithin C,NEZDQSKPNPRYAW,HHXMEXZVPJFAIJ,True,gold,True,False,False,0,1,pair_miss,0,0,False,PMID:36840624;DOI:10.1021/acs.jafc.2c08889,local_source_present_needs_external_check,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.
round2_ellagitannin_urolithin_multistep_0018,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin M6,urolithin C,LGXFTZDSEIQMMP,HHXMEXZVPJFAIJ,True,gold,True,False,False,0,2,pair_miss,0,1,False,PMID:36840624;DOI:10.1021/acs.jafc.2c08889,local_source_present_needs_external_check,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.
round2_isoflavone_reductive_metabolism_0019,isoflavone_reductive_metabolism,do_not_train_exact_holdout,A,daidzein,equol,ZQSIJRDFPHDXIC,ADFCQWZHKCXPAJ,False,,False,False,False,0,3,pair_not_in_fullrule_audit,,0,True,PMID:22113864;DOI:10.3945/jn.111.148247,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_isoflavone_reductive_metabolism_0020,isoflavone_reductive_metabolism,do_not_train_exact_holdout,A,daidzein,dihydrodaidzein,ZQSIJRDFPHDXIC,JHYXBPPMXZIHKG,True,gold,False,False,False,0,3,pair_not_in_fullrule_audit,,0,True,PMID:23542626;DOI:10.1128/AEM.03693-12,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_isoflavone_reductive_metabolism_0021,isoflavone_reductive_metabolism,pipeline_recovery_candidate,A,dihydrodaidzein,tetrahydrodaidzein,JHYXBPPMXZIHKG,QFXXJMITDXIRBB,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:23542626;DOI:10.1128/AEM.03693-12,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate."
round2_isoflavone_reductive_metabolism_0022,isoflavone_reductive_metabolism,pipeline_recovery_candidate,A,tetrahydrodaidzein,equol,QFXXJMITDXIRBB,ADFCQWZHKCXPAJ,True,gold,True,False,False,0,1,pair_miss,0,0,False,PMID:20515029;DOI:10.1021/bi100465y,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.
round2_isoflavone_reductive_metabolism_0023,isoflavone_reductive_metabolism,do_not_train_exact_holdout,A,daidzein,dihydrodaidzein,ZQSIJRDFPHDXIC,JHYXBPPMXZIHKG,True,gold,False,False,False,0,3,pair_not_in_fullrule_audit,,0,True,PMID:11195098;DOI:10.1007/s002030000222,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_isoflavone_reductive_metabolism_0024,isoflavone_reductive_metabolism,already_in_clean_candidate_pool,B,daidzin,daidzein,KYQZWONCHDNPDP,ZQSIJRDFPHDXIC,True,gold,True,True,True,1,1,pair_hit,1,1,False,PMID:11195098;DOI:10.1007/s002030000222,spot_checked,already_reaches_clean_candidates,Use as a coverage control; this row is not the current production blocker.
round2_isoflavone_reductive_metabolism_0025,isoflavone_reductive_metabolism,positive_pool_to_reactions_candidate,A,daidzein,O-desmethylangolensin,ZQSIJRDFPHDXIC,JDJPNKPFDDUBFV,False,,False,False,False,0,3,pair_not_in_fullrule_audit,,0,False,PMID:24561352;DOI:10.1016/j.jchromb.2014.01.048,spot_checked,positive_pool_to_reactions_filter,"Inspect ltr_build.py filters: single-step, structure_parseable, module mapping, canonicalization, and tier assignment."
round2_isoflavone_reduction_0026,isoflavone_reduction,do_not_train_exact_holdout,A,daidzein,equol,ZQSIJRDFPHDXIC,ADFCQWZHKCXPAJ,False,,False,False,False,0,3,pair_not_in_fullrule_audit,,0,True,PMID:22113864;DOI:10.3945/jn.111.148247,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_isoflavone_reduction_0027,isoflavone_reduction,do_not_train_exact_holdout,A,daidzein,dihydrodaidzein,ZQSIJRDFPHDXIC,JHYXBPPMXZIHKG,True,gold,False,False,False,0,3,pair_not_in_fullrule_audit,,0,True,PMID:11195098;DOI:10.1007/s002030000222,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_isoflavone_reduction_0028,isoflavone_reduction,do_not_train_exact_holdout,A,genistein,dihydrogenistein,TZBJGXHYKVUXJN,UQGVUYNHDKMLSE,True,gold,False,False,False,0,3,pair_hit,1,1,True,PMID:11195098;DOI:10.1007/s002030000222,local_source_present_needs_external_check,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_isoflavone_reduction_0029,isoflavone_reduction,do_not_train_exact_holdout,A,daidzein,dihydrodaidzein,ZQSIJRDFPHDXIC,JHYXBPPMXZIHKG,True,gold,False,False,False,0,3,pair_not_in_fullrule_audit,,0,True,PMID:23542626;DOI:10.1128/AEM.03693-12,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_isoflavone_reduction_0030,isoflavone_reduction,pipeline_recovery_candidate,A,dihydrodaidzein,tetrahydrodaidzein,JHYXBPPMXZIHKG,QFXXJMITDXIRBB,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:23542626;DOI:10.1128/AEM.03693-12,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate."
round2_isoflavone_reduction_0031,isoflavone_reduction,positive_pool_to_reactions_candidate,A,daidzein,O-desmethylangolensin,ZQSIJRDFPHDXIC,JDJPNKPFDDUBFV,False,,False,False,False,0,3,pair_not_in_fullrule_audit,,0,False,PMID:24561352;DOI:10.1016/j.jchromb.2014.01.048,spot_checked,positive_pool_to_reactions_filter,"Inspect ltr_build.py filters: single-step, structure_parseable, module mapping, canonicalization, and tier assignment."
round2_isoflavone_reduction_0032,isoflavone_reduction,pipeline_recovery_candidate,A,tetrahydrodaidzein,equol,QFXXJMITDXIRBB,ADFCQWZHKCXPAJ,True,gold,True,False,False,0,1,pair_miss,0,0,False,PMID:20515029;DOI:10.1021/bi100465y,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.
round2_isoflavone_c_glycoside_conversion_no_local_match,isoflavone_c_glycoside_conversion,absent_from_local_positive_pool,,,,,,False,,False,False,False,0,0,pair_not_in_fullrule_audit,,0,False,,external_curation_required,external_curation_needed,Curate exact substrate/product pairs from cited literature or databases before training.
round2_lignan_deglucosylation_0034,lignan_deglucosylation,do_not_train_exact_holdout,A,secoisolariciresinol,enterodiol,PUETUDUXMCLALY,DWONJCNDULPHLV,False,,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:19302311;DOI:10.1111/j.1365-2672.2009.04209.x,local_source_present_needs_external_check,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_deglucosylation_0035,lignan_deglucosylation,do_not_train_exact_holdout,A,enterodiol,enterolactone,DWONJCNDULPHLV,HVDGDHBAMCBBLR,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:17196483;DOI:10.1016/j.syapm.2006.02.003,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_deglucosylation_0036,lignan_deglucosylation,already_in_clean_candidate_pool,B,daidzin,daidzein,KYQZWONCHDNPDP,ZQSIJRDFPHDXIC,True,gold,True,True,True,1,1,pair_hit,1,1,False,PMID:11195098;DOI:10.1007/s002030000222,spot_checked,already_reaches_clean_candidates,Use as a coverage control; this row is not the current production blocker.
round2_lignan_deglucosylation_0037,lignan_deglucosylation,already_in_clean_candidate_pool,B,genistin,genistein,ZCOLJUOHXJRHDI,TZBJGXHYKVUXJN,True,gold,True,True,True,1,1,pair_hit,1,1,False,PMID:11195098;DOI:10.1007/s002030000222,local_source_present_needs_external_check,already_reaches_clean_candidates,Use as a coverage control; this row is not the current production blocker.
round2_lignan_deglucosylation_0038,lignan_deglucosylation,pipeline_recovery_candidate,B,2'-fucosyllactose,L-fucose,SNFSYLYCDAVZGP,SHZGCJCMOBCMKK,True,gold,True,False,False,0,1,pair_hit,1,1,False,PMID:27782805;DOI:10.1186/s12866-016-0867-4,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_lignan_deglucosylation_0039,lignan_deglucosylation,pipeline_recovery_candidate,B,3'-sialyllactose,N-acetylneuraminic acid,OIZGSVFYNBZVIK,SQVRNKJHWKZAKO,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:27782805;DOI:10.1186/s12866-016-0867-4,local_source_present_needs_external_check,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate."
round2_lignan_deglucosylation_0040,lignan_deglucosylation,already_in_clean_candidate_pool,B,lactose,D-galactose,GUBGYTABKSRVRQ,WQZGKKKJIJFFOK,True,gold,True,True,True,13,14,pair_hit,1,6,False,PMID:19434405;DOI:10.1007/s00253-009-2009-5,local_source_present_needs_external_check,already_reaches_clean_candidates,Use as a coverage control; this row is not the current production blocker.
round2_lignan_deglucosylation_0041,lignan_deglucosylation,pipeline_recovery_candidate,A,pinoresinol,lariciresinol,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,True,gold,True,False,False,0,3,pair_hit,1,1,False,PMID:31686027;DOI:10.1038/s41564-019-0596-1,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_lignan_deglucosylation_0042,lignan_deglucosylation,pipeline_recovery_candidate,A,lariciresinol,secoisolariciresinol,MHXCIKYXNYCMHY,PUETUDUXMCLALY,True,gold,True,False,False,0,2,pair_hit,1,1,False,PMID:31686027;DOI:10.1038/s41564-019-0596-1,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_lignan_deglucosylation_0043,lignan_deglucosylation,do_not_train_exact_holdout,A,enterodiol,enterolactone,DWONJCNDULPHLV,HVDGDHBAMCBBLR,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:17196483;DOI:10.1016/j.syapm.2006.02.003,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_deglucosylation_0044,lignan_deglucosylation,already_in_clean_candidate_pool,B,rutin,quercetin,IKGXIBQEEMLURG,REFJWTPEDVJJIY,True,gold,True,True,True,1,1,pair_not_in_fullrule_audit,,0,False,PMID:9875509;DOI:10.1007/BF03216747,spot_checked,already_reaches_clean_candidates,Use as a coverage control; this row is not the current production blocker.
round2_lignan_deglucosylation_0045,lignan_deglucosylation,already_in_clean_candidate_pool,B,naringin,naringenin,DFPMSGMNTNDNHN,FTVWIRXFELQLPI,True,gold,True,True,True,1,1,pair_hit,1,1,False,PMID:38072776;DOI:10.1002/jsfa.13204,spot_checked,already_reaches_clean_candidates,Use as a coverage control; this row is not the current production blocker.
round2_lignan_multistep_demethylation_dehydroxylation_0046,lignan_multistep_demethylation_dehydroxylation,do_not_train_exact_holdout,A,secoisolariciresinol,enterodiol,PUETUDUXMCLALY,DWONJCNDULPHLV,False,,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:19302311;DOI:10.1111/j.1365-2672.2009.04209.x,local_source_present_needs_external_check,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_multistep_demethylation_dehydroxylation_0047,lignan_multistep_demethylation_dehydroxylation,do_not_train_exact_holdout,A,enterodiol,enterolactone,DWONJCNDULPHLV,HVDGDHBAMCBBLR,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:17196483;DOI:10.1016/j.syapm.2006.02.003,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_multistep_demethylation_dehydroxylation_0048,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,A,lariciresinol,secoisolariciresinol,MHXCIKYXNYCMHY,PUETUDUXMCLALY,True,gold,True,False,False,0,2,pair_hit,1,1,False,PMID:31686027;DOI:10.1038/s41564-019-0596-1,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_lignan_multistep_demethylation_dehydroxylation_0049,lignan_multistep_demethylation_dehydroxylation,do_not_train_exact_holdout,A,enterodiol,enterolactone,DWONJCNDULPHLV,HVDGDHBAMCBBLR,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:17196483;DOI:10.1016/j.syapm.2006.02.003,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_multistep_demethylation_dehydroxylation_0050,lignan_multistep_demethylation_dehydroxylation,do_not_train_exact_holdout,A,ellagic acid,urolithin A,AFSDNFLWKVMVRB,RIUPLDUFZCXCHM,False,,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_multistep_demethylation_dehydroxylation_0051,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,D,cholic acid,deoxycholic acid,BHQCQFFYRZLCQQ,KXGVEGMKQFWNSR,True,weak,True,False,True,1,5,pair_not_in_fullrule_audit,,0,False,PMID:30589376;DOI:10.1080/19490976.2018.1549420,local_source_present_needs_external_check,not_covered_by_fullrule_audit,Add this reaction to the generation audit or run targeted rule generation before deciding training status.
round2_lignan_multistep_demethylation_dehydroxylation_0052,lignan_multistep_demethylation_dehydroxylation,positive_pool_to_reactions_candidate,D,chenodeoxycholic acid,lithocholic acid,RUDATBOHQWOJDD,SMEROWZSTRWXGI,False,,True,False,True,2,5,pair_not_in_fullrule_audit,,2,False,PMID:39090543;DOI:10.1186/s12866-024-03433-y,local_source_present_needs_external_check,positive_pool_to_reactions_filter,"Inspect ltr_build.py filters: single-step, structure_parseable, module mapping, canonicalization, and tier assignment."
round2_lignan_multistep_demethylation_dehydroxylation_0053,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,A,dopamine,m-tyramine,VYFYYTLLBUKUHU,GHFGJTVYMNRGBY,True,gold,True,False,False,0,1,pair_miss,0,0,False,PMID:31196984;DOI:10.1126/science.aau6323,local_source_present_needs_external_check,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.
round2_lignan_multistep_demethylation_dehydroxylation_0054,lignan_multistep_demethylation_dehydroxylation,positive_pool_to_reactions_candidate,A,1-(3 4-dihydroxyphenyl)-3-(2 4 6-trihydroxyphenyl)propan-2-ol,5-(3 4-dihydroxyphenyl)-gamma-valerolactone,OFUFTNROAPAIQL,ZNXXWTPQHVLMQT,False,,False,False,False,0,0,pair_not_in_fullrule_audit,,0,False,PMID:21457417;DOI:10.1111/j.1365-2672.2011.05025.x,spot_checked,positive_pool_to_reactions_filter,"Inspect ltr_build.py filters: single-step, structure_parseable, module mapping, canonicalization, and tier assignment."
round2_lignan_multistep_demethylation_dehydroxylation_0055,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,A,isoxanthohumol,8-prenylnaringenin,YKGCBLWILMDSAV,LPEPZZAVFJPLNZ,True,gold,True,False,False,0,1,pair_hit,1,1,False,PMID:16076107;DOI:10.1021/jf0509714,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_lignan_multistep_demethylation_dehydroxylation_0056,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,D,cholic acid,3-oxocholic acid,BHQCQFFYRZLCQQ,OEKUSRBIIZNLHZ,True,gold,True,False,True,1,5,pair_not_in_fullrule_audit,,0,False,PMID:34463573;DOI:10.1128/mSystems.00805-21,local_source_present_needs_external_check,not_covered_by_fullrule_audit,Add this reaction to the generation audit or run targeted rule generation before deciding training status.
round2_lignan_multistep_demethylation_dehydroxylation_0057,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,A,pinoresinol,lariciresinol,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,True,gold,True,False,False,0,3,pair_hit,1,1,False,PMID:31686027;DOI:10.1038/s41564-019-0596-1,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
round2_lignan_oxidation_0058,lignan_oxidation,do_not_train_exact_holdout,A,secoisolariciresinol,enterodiol,PUETUDUXMCLALY,DWONJCNDULPHLV,False,,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:19302311;DOI:10.1111/j.1365-2672.2009.04209.x,local_source_present_needs_external_check,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_oxidation_0059,lignan_oxidation,do_not_train_exact_holdout,A,enterodiol,enterolactone,DWONJCNDULPHLV,HVDGDHBAMCBBLR,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:17196483;DOI:10.1016/j.syapm.2006.02.003,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_oxidation_0060,lignan_oxidation,do_not_train_exact_holdout,A,enterodiol,enterolactone,DWONJCNDULPHLV,HVDGDHBAMCBBLR,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:17196483;DOI:10.1016/j.syapm.2006.02.003,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_oxidation_0061,lignan_oxidation,do_not_train_exact_holdout,A,ellagic acid,urolithin A,AFSDNFLWKVMVRB,RIUPLDUFZCXCHM,False,,True,False,False,0,1,pair_not_in_fullrule_audit,,0,True,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,holdout_leakage_guard,Keep as evaluation/diagnosis only; replace with independent non-holdout cases before training.
round2_lignan_oxidation_0062,lignan_oxidation,positive_pool_to_reactions_candidate,A,1-(3 4-dihydroxyphenyl)-3-(2 4 6-trihydroxyphenyl)propan-2-ol,5-(3 4-dihydroxyphenyl)-gamma-valerolactone,OFUFTNROAPAIQL,ZNXXWTPQHVLMQT,False,,False,False,False,0,0,pair_not_in_fullrule_audit,,0,False,PMID:21457417;DOI:10.1111/j.1365-2672.2011.05025.x,spot_checked,positive_pool_to_reactions_filter,"Inspect ltr_build.py filters: single-step, structure_parseable, module mapping, canonicalization, and tier assignment."
round2_flavanol_ring_fission_0063,flavanol_ring_fission,pipeline_recovery_candidate,A,(-)-epicatechin,1-(3 4-dihydroxyphenyl)-3-(2 4 6-trihydroxyphenyl)propan-2-ol,PFTAWBLQPZVEMU,OFUFTNROAPAIQL,True,gold,True,False,False,0,2,pair_not_in_fullrule_audit,,0,False,PMID:21457417;DOI:10.1111/j.1365-2672.2011.05025.x,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate."
round2_flavanol_ring_fission_0064,flavanol_ring_fission,positive_pool_to_reactions_candidate,A,1-(3 4-dihydroxyphenyl)-3-(2 4 6-trihydroxyphenyl)propan-2-ol,5-(3 4-dihydroxyphenyl)-gamma-valerolactone,OFUFTNROAPAIQL,ZNXXWTPQHVLMQT,False,,False,False,False,0,0,pair_not_in_fullrule_audit,,0,False,PMID:21457417;DOI:10.1111/j.1365-2672.2011.05025.x,spot_checked,positive_pool_to_reactions_filter,"Inspect ltr_build.py filters: single-step, structure_parseable, module mapping, canonicalization, and tier assignment."
round2_flavanone_ring_fission_0065,flavanone_ring_fission,pipeline_recovery_candidate,A,isoxanthohumol,8-prenylnaringenin,YKGCBLWILMDSAV,LPEPZZAVFJPLNZ,True,gold,True,False,False,0,1,pair_hit,1,1,False,PMID:16076107;DOI:10.1021/jf0509714,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.
