round,pmid,priority_families,query_ids,title,journal,year,doi,triage_status_round14,training_label_allowed_round14,negative_label_allowed_round14,reason_or_next_check,pubmed_url
14,18567753,prenylflavonoid_o_demethylation,isoxanthohumol_8pn,Eubacterium limosum activates isoxanthohumol from hops (Humulus lupulus L.) into the potent phytoestrogen 8-prenylnaringenin in vitro and in rat intestine.,The Journal of nutrition,2008,10.1093/jn/138.7.1310,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/18567753/
14,19357217,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_nonproducer_broad,Is equol the key to the efficacy of soy foods?,The American journal of clinical nutrition,2009,10.3945/ajcn.2009.26736T,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/19357217/
14,19919114,urolithin_dehydroxylation,urolithin_c_to_a_broad,Effects of pomegranate chemical constituents/intestinal microbial metabolites on CYP1B1 in 22Rv1 prostate cancer cells.,Journal of agricultural and food chemistry,2009,10.1021/jf902716r,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/19919114/
14,20397197,prenylflavonoid_o_demethylation,isoxanthohumol_8pn,Recovery and metabolism of xanthohumol in germ-free and human microbiota-associated rats.,Molecular nutrition & food research,2010,10.1002/mnfr.200900517,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/20397197/
14,21092366,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_nonproducer_broad,Is equol production beneficial to health?,The Proceedings of the Nutrition Society,2011,10.1017/S0029665110003940,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/21092366/
14,22113864,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_nonproducer_broad,Daidzein and genistein are converted to equol and 5-hydroxy-equol by human intestinal Slackia isoflavoniconvertens in gnotobiotic rats.,The Journal of nutrition,2012,10.3945/jn.111.148247,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/22113864/
14,22179235,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad,Identification of an enzyme system for daidzein-to-equol conversion in Slackia sp. strain NATTS.,Applied and environmental microbiology,2012,10.1128/AEM.06779-11,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/22179235/
14,23115971,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad;isoflavone_equol_nonproducer_broad,[Microbial conversion of daidzein affects fecal equol concentration and bacterial composition of rats with or without ovariectomy].,Wei sheng wu xue bao = Acta microbiologica Sinica,2012,,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/23115971/
14,23542626,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad,Identification and expression of genes involved in the conversion of daidzein and genistein by the equol-forming bacterium Slackia isoflavoniconvertens.,Applied and environmental microbiology,2013,10.1128/AEM.03693-12,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/23542626/
14,23765740,prenylflavonoid_o_demethylation,isoxanthohumol_8pn,Oestrogenicity of prenylflavonoids from hops: activation of pro-oestrogens by intestinal bacteria.,Environmental microbiology reports,2009,10.1111/j.1758-2229.2009.00011.x,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/23765740/
14,23952813,glycoside_and_hmo_hydrolysis,hmo_fucosidase_broad,"""Amide resonance"" in the catalysis of 1,2-α-L-fucosidase from Bifidobacterium bifidum.",The journal of physical chemistry. B,2013,10.1021/jp402110j,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/23952813/
14,24909569,urolithin_dehydroxylation,urolithin_c_to_a_broad,Description of urolithin production capacity from ellagic acid of two human intestinal Gordonibacter species.,Food & function,2014,10.1039/c4fo00092g,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/24909569/
14,24946051,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_nonproducer_broad,"Absorption, distribution, metabolism, and excretion of isoflavonoids after soy intake.",Archives of biochemistry and biophysics,2014,10.1016/j.abb.2014.06.007,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/24946051/
14,25045165,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,Microbial catabolism of procyanidins by human gut microbiota.,Molecular nutrition & food research,2014,10.1002/mnfr.201400243,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/25045165/
14,26025814,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,Profiling a gut microbiota-generated catechin metabolite's fate in human blood cells using a metabolomic approach.,Journal of pharmaceutical and biomedical analysis,2015,10.1016/j.jpba.2015.04.042,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/26025814/
14,26872561,urolithin_dehydroxylation,urolithin_c_to_a_broad,"Urolithin A, C, and D, but not iso-urolithin A and urolithin B, attenuate triglyceride accumulation in human cultures of adipocytes and hepatocytes.",Molecular nutrition & food research,2016,10.1002/mnfr.201500796,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/26872561/
14,26891591,urolithin_dehydroxylation,urolithin_c_to_a_broad,Antiatherogenic effects of ellagic acid and urolithins in vitro.,Archives of biochemistry and biophysics,2016,10.1016/j.abb.2016.02.017,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/26891591/
14,27782805,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad;hmo_fucosidase_broad,Fucosyllactose and L-fucose utilization of infant Bifidobacterium longum and Bifidobacterium kashiwanohense.,BMC microbiology,2016,10.1186/s12866-016-0867-4,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/27782805/
14,29504827,polyphenol_ring_fission,polyphenol_ring_fission_quercetin,Flavonoid metabolism: the interaction of metabolites and gut microbiota.,"Bioscience, biotechnology, and biochemistry",2018,10.1080/09168451.2018.1444467,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/29504827/
14,30683741,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad,Bifidobacterium bifidum ATCC 15696 and Bifidobacterium breve 24b Metabolic Interaction Based on 2'-,Applied and environmental microbiology,2019,10.1128/AEM.02783-18,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/30683741/
14,30928028,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad,"Search for bacterial α1,2-fucosyltransferases for whole-cell biosynthesis of 2'-fucosyllactose in recombinant Escherichia coli.",Microbiological research,2019,10.1016/j.micres.2019.02.009,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/30928028/
14,31069407,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad,"Lactobacillus intestinalis efficiently produces equol from daidzein and chungkookjang, short-term fermented soybeans.",Archives of microbiology,2019,10.1007/s00203-019-01665-5,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/31069407/
14,31138818,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad;hmo_fucosidase_broad,Novel Genes and Metabolite Trends in Bifidobacterium longum subsp. infantis Bi-26 Metabolism of Human Milk Oligosaccharide 2'-fucosyllactose.,Scientific reports,2019,10.1038/s41598-019-43780-9,known_existing_gold_or_supporting_context,False,False,existing_gold_exact_or_support: 2-FL -> L-fucose,https://pubmed.ncbi.nlm.nih.gov/31138818/
14,31231095,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad,Dietary daidzein induces accumulation of S-equol in enterohepatic circulation to far higher levels than that of daidzein in female rats with and without ovariectomy.,"Biomedical research (Tokyo, Japan)",2019,10.2220/biomedres.40.97,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/31231095/
14,31344423,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,"Gut microbiota in phytopharmacology: A comprehensive overview of concepts, reciprocal interactions, biotransformations and mode of actions.",Pharmacological research,2019,10.1016/j.phrs.2019.104367,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/31344423/
14,31527435,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad,Equol: A Bacterial Metabolite from The Daidzein Isoflavone and Its Presumed Beneficial Health Effects.,Nutrients,2019,10.3390/nu11092231,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/31527435/
14,32223044,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,"Monomeric Flavanols Are More Efficient Substrates for Gut Microbiota Conversion to Hydroxyphenyl-γ-Valerolactone Metabolites Than Oligomeric Procyanidins: A Randomized, Placebo-Controlled Human Intervention Trial.",Molecular nutrition & food research,2020,10.1002/mnfr.201901135,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/32223044/
14,32388762,glycoside_and_hmo_hydrolysis,hmo_fucosidase_broad,Biochemical characterization of a novel α-L-fucosidase from Pedobacter sp. and its application in synthesis of 3'-fucosyllactose and 2'-fucosyllactose.,Applied microbiology and biotechnology,2020,10.1007/s00253-020-10630-y,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/32388762/
14,32716447,hydroxycinnamate_reduction_and_hydrolysis,hydroxycinnamate_reduction,Metabolism of different dietary phenolic compounds by the urolithin-producing human-gut bacteria Gordonibacter urolithinfaciens and Ellagibacter isourolithinifaciens.,Food & function,2020,10.1039/d0fo01649g,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/32716447/
14,33330584,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad,,Frontiers in nutrition,2020,10.3389/fnut.2020.583397,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/33330584/
14,33382612,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad,"Selective Utilization of the Human Milk Oligosaccharides 2'-Fucosyllactose, 3-Fucosyllactose, and Difucosyllactose by Various Probiotic and Pathogenic Bacteria.",Journal of agricultural and food chemistry,2021,10.1021/acs.jafc.0c06041,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/33382612/
14,33930123,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad;isoflavone_equol_nonproducer_broad,Isolation and identification of a human intestinal bacterium capable of daidzein conversion.,FEMS microbiology letters,2021,10.1093/femsle/fnab046,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/33930123/
14,34731055,glycoside_and_hmo_hydrolysis,hmo_fucosidase_broad,Diversification of a Fucosyllactose Transporter within the Genus,Applied and environmental microbiology,2022,10.1128/AEM.01437-21,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/34731055/
14,34855380,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad,Use of Physiologically Based Pharmacokinetic Modeling to Predict Human Gut Microbial Conversion of Daidzein to S-Equol.,Journal of agricultural and food chemistry,2022,10.1021/acs.jafc.1c03950,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/34855380/
14,35011305,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,The Donor-Dependent and Colon-Region-Dependent Metabolism of (+)-Catechin by Colonic Microbiota in the Simulator of the Human Intestinal Microbial Ecosystem.,"Molecules (Basel, Switzerland)",2021,10.3390/molecules27010073,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/35011305/
14,35568144,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,Structurally related (-)-epicatechin metabolites and gut microbiota derived metabolites exert genomic modifications via VEGF signaling pathways in brain microvascular endothelial cells under lipotoxic conditions: Integrated multi-omic study.,Journal of proteomics,2022,10.1016/j.jprot.2022.104603,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/35568144/
14,35722280,glycoside_and_hmo_hydrolysis,hmo_fucosidase_broad,2'-Fucosyllactose Increases the Abundance of,Frontiers in microbiology,2022,10.3389/fmicb.2022.913624,literature_context_only,False,False,"Useful search context, not a direct training label.",https://pubmed.ncbi.nlm.nih.gov/35722280/
14,36282480,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_no_conversion_broad;isoflavone_equol_nonproducer_broad,High Titer of (,ACS synthetic biology,2022,10.1021/acssynbio.2c00378,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/36282480/
14,36282591,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_nonproducer_broad,Engineering,ACS synthetic biology,2022,10.1021/acssynbio.2c00277,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/36282591/
14,36552698,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,Catechin Bioavailability Following Consumption of a Green Tea Extract Confection Is Reduced in Obese Persons without Affecting Gut Microbial-Derived Valerolactones.,"Antioxidants (Basel, Switzerland)",2022,10.3390/antiox11122490,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/36552698/
14,36700831,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad;hmo_fucosidase_broad,Microbial Synthesis of l-Fucose with High Productivity by a Metabolically Engineered,Journal of agricultural and food chemistry,2023,10.1021/acs.jafc.2c08906,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/36700831/
14,37683128,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,Characterization of the Interindividual Variability Associated with the Microbial Metabolism of (-)-Epicatechin.,Journal of agricultural and food chemistry,2023,10.1021/acs.jafc.3c05491,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/37683128/
14,37743489,urolithin_dehydroxylation,urolithin_c_to_a_broad,The effect of polyphenols on DNA methylation-assessed biological age attenuation: the DIRECT PLUS randomized controlled trial.,BMC medicine,2023,10.1186/s12916-023-03067-3,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/37743489/
14,37973815,glycoside_and_hmo_hydrolysis,hmo_fucosidase_broad,Infant microbiome cultivation and metagenomic analysis reveal Bifidobacterium 2'-fucosyllactose utilization can be facilitated by coexisting species.,Nature communications,2023,10.1038/s41467-023-43279-y,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/37973815/
14,38350729,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,Assessing the Gut Microbiota's Ability to Metabolize Oligomeric and Polymeric Flavan-3-ols from Aronia and Cranberry.,Molecular nutrition & food research,2024,10.1002/mnfr.202300641,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/38350729/
14,38362621,isoflavone_reductive_and_glycoside_metabolism,isoflavone_equol_nonproducer_broad,Mucin coated protein-polyphenol microcarriers for daidzein delivery.,Food & function,2024,10.1039/d3fo03356b,context_only_not_negative_label,False,False,Equol/non-producer literature hit without explicit no-conversion edge in title/abstract.,https://pubmed.ncbi.nlm.nih.gov/38362621/
14,38389793,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad,Influence of microbially fermented 2´-fucosyllactose on neuronal-like cell activity in an,Frontiers in nutrition,2024,10.3389/fnut.2024.1351433,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/38389793/
14,38849679,urolithin_dehydroxylation,urolithin_c_to_a_broad,Urolithin C suppresses colorectal cancer progression via the AKT/mTOR pathway.,Journal of natural medicines,2024,10.1007/s11418-024-01821-2,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/38849679/
14,38975869,polyphenol_ring_fission,polyphenol_ring_fission_catechin_broad,Gut microbiota-mediated metabolism of green tea catechins and the biological consequences: An updated review.,Critical reviews in food science and nutrition,2024,10.1080/10408398.2023.2180478,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/38975869/
14,39303538,urolithin_dehydroxylation,urolithin_c_to_a_broad,The ellagitannin metabolite urolithin C attenuated cognitive impairment by inhibiting neuroinflammation via downregulation of MAPK/NF-kB signaling pathways in aging mice.,International immunopharmacology,2024,10.1016/j.intimp.2024.113151,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/39303538/
14,40135481,glycoside_and_hmo_hydrolysis,hmo_2fl_fucose_broad,Impact of 2'-fucosyllactose on adult gut microbiota composition and metabolome based on colonic fermentation and prebiotic quantitative evaluation.,Journal of food science,2025,10.1111/1750-3841.70084,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/40135481/
14,41506451,urolithin_dehydroxylation,urolithin_c_to_a_broad,Fructooligosaccharides and ellagic acid synergistically enhance muscular endurance via targeting gut microbial urolithin A biosynthesis.,Journal of advanced research,2026,10.1016/j.jare.2026.01.017,candidate_exact_pair_extraction_needed,False,False,"Biotransformation language present, but title/abstract is not enough for a training edge; extract tables/full text.",https://pubmed.ncbi.nlm.nih.gov/41506451/
14,41797252,urolithin_dehydroxylation,urolithin_c_to_a_broad,Urolithin 9-dehydroxylase from Enterocloster bolteae JCM 12243,Enzyme and microbial technology,2026,10.1016/j.enzmictec.2026.110837,known_existing_gold_or_supporting_context,False,False,supporting_context: urolithin dehydroxylation,https://pubmed.ncbi.nlm.nih.gov/41797252/
