row_id,gap_family,candidate_status,module,substrate_name,product_name,sb,pb,in_reactions_parquet,reaction_tiers,selected_by_clean_builder,target_in_clean_positive,same_substrate_in_clean_candidates_full,clean_positive_products_for_substrate,truth_products_for_substrate,fullrule_pair_status,fullrule_pair_hit,fullrule_same_substrate_hits,exact_holdout_pair,source_id,validation_status_round2,route_loss_stage,recommended_fix,substrate_smiles_used,clean_default_rule_count,broad_rule_count,all_pool_rule_count,clean_default_generated_count,broad_generated_count,all_pool_generated_count,clean_default_hit,broad_rule_hit,all_pool_rule_hit,round4_rule_issue,round4_recommended_action
round2_ellagitannin_urolithin_multistep_0013,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin C,isourolithin A,HHXMEXZVPJFAIJ,WDGSXHQNUPZEHA,True,gold,True,False,False,0,2,pair_hit,1.0,2,False,PMID:29583112;DOI:10.1099/ijsem.0.002735,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,O=c1oc2cc(O)ccc2c2cc(O)c(O)cc12,800,4408,4408,0,0,0,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_ellagitannin_urolithin_multistep_0014,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,isourolithin A,urolithin B,WDGSXHQNUPZEHA,WXUQMTRHPNOXBV,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:29583112;DOI:10.1099/ijsem.0.002735,local_source_present_needs_external_check,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate.",O=c1oc2cc(O)ccc2c2cc(O)ccc12,800,4408,4408,0,0,0,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_ellagitannin_urolithin_multistep_0015,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin C,urolithin A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,True,gold,True,False,False,0,2,pair_hit,1.0,2,False,PMID:39856097;DOI:10.1038/s41467-025-56266-2,spot_checked,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,O=c1oc2cc(O)ccc2c2cc(O)c(O)cc12,800,4408,4408,0,0,0,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_ellagitannin_urolithin_multistep_0016,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,isourolithin A,urolithin B,WDGSXHQNUPZEHA,WXUQMTRHPNOXBV,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:39856097;DOI:10.1038/s41467-025-56266-2,local_source_present_needs_external_check,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate.",O=c1oc2cc(O)ccc2c2cc(O)ccc12,800,4408,4408,0,0,0,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_ellagitannin_urolithin_multistep_0017,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin D,urolithin C,NEZDQSKPNPRYAW,HHXMEXZVPJFAIJ,True,gold,True,False,False,0,1,pair_miss,0.0,0,False,PMID:36840624;DOI:10.1021/acs.jafc.2c08889,local_source_present_needs_external_check,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,800,4408,4408,0,0,0,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_ellagitannin_urolithin_multistep_0018,ellagitannin_urolithin_multistep,pipeline_recovery_candidate,A,urolithin M6,urolithin C,LGXFTZDSEIQMMP,HHXMEXZVPJFAIJ,True,gold,True,False,False,0,2,pair_miss,0.0,1,False,PMID:36840624;DOI:10.1021/acs.jafc.2c08889,local_source_present_needs_external_check,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,O=c1oc2cc(O)ccc2c2c(O)c(O)c(O)cc12,800,4408,4408,0,0,0,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_isoflavone_reductive_metabolism_0021,isoflavone_reductive_metabolism,pipeline_recovery_candidate,A,dihydrodaidzein,tetrahydrodaidzein,JHYXBPPMXZIHKG,QFXXJMITDXIRBB,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:23542626;DOI:10.1128/AEM.03693-12,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate.",O=C1c2ccc(O)cc2OCC1c1ccc(O)cc1,800,4408,4408,3,3,3,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_isoflavone_reductive_metabolism_0022,isoflavone_reductive_metabolism,pipeline_recovery_candidate,A,tetrahydrodaidzein,equol,QFXXJMITDXIRBB,ADFCQWZHKCXPAJ,True,gold,True,False,False,0,1,pair_miss,0.0,0,False,PMID:20515029;DOI:10.1021/bi100465y,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,O=C1C=C2OCC(c3ccc(O)cc3)C(O)=C2CC1,800,4408,4408,3,3,3,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_isoflavone_reduction_0030,isoflavone_reduction,pipeline_recovery_candidate,A,dihydrodaidzein,tetrahydrodaidzein,JHYXBPPMXZIHKG,QFXXJMITDXIRBB,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:23542626;DOI:10.1128/AEM.03693-12,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate.",O=C1c2ccc(O)cc2OCC1c1ccc(O)cc1,800,4408,4408,3,3,3,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_isoflavone_reduction_0032,isoflavone_reduction,pipeline_recovery_candidate,A,tetrahydrodaidzein,equol,QFXXJMITDXIRBB,ADFCQWZHKCXPAJ,True,gold,True,False,False,0,1,pair_miss,0.0,0,False,PMID:20515029;DOI:10.1021/bi100465y,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,O=C1C=C2OCC(c3ccc(O)cc3)C(O)=C2CC1,800,4408,4408,3,3,3,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_lignan_deglucosylation_0038,lignan_deglucosylation,pipeline_recovery_candidate,B,2'-fucosyllactose,L-fucose,SNFSYLYCDAVZGP,SHZGCJCMOBCMKK,True,gold,True,False,False,0,1,pair_hit,1.0,1,False,PMID:27782805;DOI:10.1186/s12866-016-0867-4,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@H](CO)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,800,932,932,79,82,82,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_lignan_deglucosylation_0039,lignan_deglucosylation,pipeline_recovery_candidate,B,3'-sialyllactose,N-acetylneuraminic acid,OIZGSVFYNBZVIK,SQVRNKJHWKZAKO,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:27782805;DOI:10.1186/s12866-016-0867-4,local_source_present_needs_external_check,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate.",CC(=O)NC1C(O)CC(OC2C(O)C(CO)OC(OC(C(O)CO)C(O)C(O)C=O)C2O)(C(=O)O)OC1C(O)C(O)CO,800,932,932,75,75,75,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_lignan_deglucosylation_0041,lignan_deglucosylation,pipeline_recovery_candidate,A,pinoresinol,lariciresinol,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,True,gold,True,False,False,0,3,pair_hit,1.0,1,False,PMID:31686027;DOI:10.1038/s41564-019-0596-1,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,800,4408,4408,6,11,11,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_lignan_deglucosylation_0042,lignan_deglucosylation,pipeline_recovery_candidate,A,lariciresinol,secoisolariciresinol,MHXCIKYXNYCMHY,PUETUDUXMCLALY,True,gold,True,False,False,0,2,pair_hit,1.0,1,False,PMID:31686027;DOI:10.1038/s41564-019-0596-1,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2CO)ccc1O,800,4408,4408,14,27,27,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_lignan_multistep_demethylation_dehydroxylation_0048,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,A,lariciresinol,secoisolariciresinol,MHXCIKYXNYCMHY,PUETUDUXMCLALY,True,gold,True,False,False,0,2,pair_hit,1.0,1,False,PMID:31686027;DOI:10.1038/s41564-019-0596-1,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2CO)ccc1O,800,4408,4408,14,27,27,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_lignan_multistep_demethylation_dehydroxylation_0051,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,D,cholic acid,deoxycholic acid,BHQCQFFYRZLCQQ,KXGVEGMKQFWNSR,True,weak,True,False,True,1,5,pair_not_in_fullrule_audit,,0,False,PMID:30589376;DOI:10.1080/19490976.2018.1549420,local_source_present_needs_external_check,not_covered_by_fullrule_audit,Add this reaction to the generation audit or run targeted rule generation before deciding training status.,CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,800,2359,2359,21,34,34,False,True,True,rule_sampling_gap_in_clean_builder,Replace random rule sampling with deterministic evidence-tiered rule inclusion.
round2_lignan_multistep_demethylation_dehydroxylation_0053,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,A,dopamine,m-tyramine,VYFYYTLLBUKUHU,GHFGJTVYMNRGBY,True,gold,True,False,False,0,1,pair_miss,0.0,0,False,PMID:31196984;DOI:10.1126/science.aau6323,local_source_present_needs_external_check,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,NCCc1ccc(O)c(O)c1,800,4408,4408,11,21,21,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_lignan_multistep_demethylation_dehydroxylation_0055,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,A,isoxanthohumol,8-prenylnaringenin,YKGCBLWILMDSAV,LPEPZZAVFJPLNZ,True,gold,True,False,False,0,1,pair_hit,1.0,1,False,PMID:16076107;DOI:10.1021/jf0509714,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,COc1cc(O)c(CC=C(C)C)c2c1C(=O)CC(c1ccc(O)cc1)O2,800,4408,4408,3,8,8,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_lignan_multistep_demethylation_dehydroxylation_0056,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,D,cholic acid,3-oxocholic acid,BHQCQFFYRZLCQQ,OEKUSRBIIZNLHZ,True,gold,True,False,True,1,5,pair_not_in_fullrule_audit,,0,False,PMID:34463573;DOI:10.1128/mSystems.00805-21,local_source_present_needs_external_check,not_covered_by_fullrule_audit,Add this reaction to the generation audit or run targeted rule generation before deciding training status.,CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,800,2359,2359,21,34,34,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_lignan_multistep_demethylation_dehydroxylation_0057,lignan_multistep_demethylation_dehydroxylation,pipeline_recovery_candidate,A,pinoresinol,lariciresinol,HGXBRUKMWQGOIE,MHXCIKYXNYCMHY,True,gold,True,False,False,0,3,pair_hit,1.0,1,False,PMID:31686027;DOI:10.1038/s41564-019-0596-1,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,800,4408,4408,6,11,11,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_flavanol_ring_fission_0063,flavanol_ring_fission,pipeline_recovery_candidate,A,(-)-epicatechin,1-(3 4-dihydroxyphenyl)-3-(2 4 6-trihydroxyphenyl)propan-2-ol,PFTAWBLQPZVEMU,OFUFTNROAPAIQL,True,gold,True,False,False,0,2,pair_not_in_fullrule_audit,,0,False,PMID:21457417;DOI:10.1111/j.1365-2672.2011.05025.x,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate.",Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,800,4408,4408,7,12,12,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_flavanone_ring_fission_0065,flavanone_ring_fission,pipeline_recovery_candidate,A,isoxanthohumol,8-prenylnaringenin,YKGCBLWILMDSAV,LPEPZZAVFJPLNZ,True,gold,True,False,False,0,1,pair_hit,1.0,1,False,PMID:16076107;DOI:10.1021/jf0509714,local_source_present_needs_external_check,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,COc1cc(O)c(CC=C(C)C)c2c1C(=O)CC(c1ccc(O)cc1)O2,800,4408,4408,3,8,8,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_flavonol_ring_fission_0068,flavonol_ring_fission,pipeline_recovery_candidate,A,quercetin,taxifolin,REFJWTPEDVJJIY,CXQWRCVTCMQVQX,True,gold,True,False,True,1,4,pair_hit,1.0,1,False,PMID:11722907;DOI:10.1128/AEM.67.12.5558-5567.2001,spot_checked,generated_in_audit_but_missing_from_clean,"Inspect canonicalization, clean_candidates_full generation parameters, duplicate handling, and post-generation filtering.",O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc(O)c12,800,4408,4408,9,14,14,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_flavonol_ring_fission_0069,flavonol_ring_fission,pipeline_recovery_candidate,A,taxifolin,alphitonin,CXQWRCVTCMQVQX,VCLACNNZBMRRES,True,gold,True,False,False,0,2,pair_miss,0.0,0,False,PMID:11722907;DOI:10.1128/AEM.67.12.5558-5567.2001,spot_checked,generation_miss_drops_substrate,Candidate-generation rules do not generate this true product; add or import evidence-backed reaction rules before retraining.,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,800,4408,4408,7,14,14,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
round2_flavonol_ring_fission_0071,flavonol_ring_fission,pipeline_recovery_candidate,A,phloroglucinol carboxylic acid,phloroglucinol,IBHWREHFNDMRPR,QCDYQQDYXPDABM,True,gold,True,False,False,0,1,pair_hit,1.0,1,False,PMID:11722907;DOI:10.1128/AEM.67.12.5558-5567.2001,spot_checked,selected_substrate_missing_from_clean_output,Run a targeted generation trace; selected substrate has evidence but no clean output row.,O=C(O)c1c(O)cc(O)cc1O,800,4408,4408,12,22,22,False,False,False,master_rule_available_but_not_in_positive_pool_rules,Import evidence-backed RetroRules/Rhea/MetaNetX rule provenance into the module rule pool.
round2_ellagitannin_hydrolysis_0074,ellagitannin_hydrolysis,pipeline_recovery_candidate,A,ellagic acid,urolithin M5,AFSDNFLWKVMVRB,ZELMDXUEWHBWPN,True,gold,True,False,False,0,1,pair_not_in_fullrule_audit,,0,False,PMID:24909569;DOI:10.1039/c4fo00092g,spot_checked,no_true_product_generated_for_substrate,"No true products are generated for the selected substrate, so clean candidate generation drops the substrate.",O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,800,4408,4408,0,0,0,False,False,False,rule_family_absent_or_not_validated_locally,Curate exact literature/database reaction and add family-specific rule only after provenance verification.
