module,macro_module,reaction_category,reaction_type,family_key,raw_pair_count,reactions_pair_count,clean_full_positive_count,clean_positive_count,fullrule_seen_count,fullrule_hit_count,high_evidence_pair_count,manual_literature_pair_count,raw_to_reactions_retention,reactions_to_clean_full_retention,reactions_to_clean_retention,fullrule_generation_recall_seen,missing_from_clean_full,round4_recommended_action
D,lipid_fat,Fatty acid oxidation,Fatty-Acid- Coenzyme A Ligase,lipid_fat :: Fatty acid oxidation :: Fatty-Acid- Coenzyme A Ligase,39,38,9,9,0,0,0,0,0.9743589743589743,0.23684210526315788,0.23684210526315788,,29,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid oxidation,Acetyl Coenzyme A C-Acyltransferase,lipid_fat :: Fatty acid oxidation :: Acetyl Coenzyme A C-Acyltransferase,45,44,16,29,0,0,0,0,0.9777777777777777,0.36363636363636365,0.6590909090909091,,28,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid oxidation,3-Hydroxyacyl Coenzyme A Dehydrogenase,lipid_fat :: Fatty acid oxidation :: 3-Hydroxyacyl Coenzyme A Dehydrogenase,53,53,28,32,0,0,0,0,1.0,0.5283018867924528,0.6037735849056604,,25,curate_more_literature_or_database_supported_pairs
C,protein_amino_acid,,biomass526,protein_amino_acid ::  :: biomass526,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass527,protein_amino_acid ::  :: biomass527,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass528,protein_amino_acid ::  :: biomass528,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass529,protein_amino_acid ::  :: biomass529,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass530,protein_amino_acid ::  :: biomass530,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass531,protein_amino_acid ::  :: biomass531,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass532,protein_amino_acid ::  :: biomass532,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass533,protein_amino_acid ::  :: biomass533,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass534,protein_amino_acid ::  :: biomass534,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
C,protein_amino_acid,,biomass535,protein_amino_acid ::  :: biomass535,22,22,0,0,6,0,0,0,1.0,0.0,0.0,0.0,22,add_or_import_family_rules_before_retraining
D,lipid_fat,Cholesterol metabolism,Acyl Coenzyme A:Cholesterol O-Acyltransferase,lipid_fat :: Cholesterol metabolism :: Acyl Coenzyme A:Cholesterol O-Acyltransferase,38,38,18,25,0,0,0,0,1.0,0.47368421052631576,0.6578947368421053,,20,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid oxidation,Enoyl Coenzyme A Hydratase,lipid_fat :: Fatty acid oxidation :: Enoyl Coenzyme A Hydratase,51,51,32,39,0,0,0,0,1.0,0.6274509803921569,0.7647058823529411,,19,curate_more_literature_or_database_supported_pairs
D,lipid_fat,Fatty acid oxidation,Fatty-Acyl-Acp Hydrolase,lipid_fat :: Fatty acid oxidation :: Fatty-Acyl-Acp Hydrolase,22,22,4,3,0,0,0,0,1.0,0.18181818181818182,0.13636363636363635,,18,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Androgen and estrogen synthesis and metabolism,Glutathione Transferase,small_molecule_polyphenol :: Androgen and estrogen synthesis and metabolism :: Glutathione Transferase,18,18,0,0,0,0,0,0,1.0,0.0,0.0,,18,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Eicosanoid metabolism,Glutathione Transferase,small_molecule_polyphenol :: Eicosanoid metabolism :: Glutathione Transferase,18,18,2,3,0,0,0,0,1.0,0.1111111111111111,0.16666666666666666,,16,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid oxidation,Palmitoyl Coenzyme A Hydrolase,lipid_fat :: Fatty acid oxidation :: Palmitoyl Coenzyme A Hydrolase,48,48,34,34,0,0,0,0,1.0,0.7083333333333334,0.7083333333333334,,14,curate_more_literature_or_database_supported_pairs
C,protein_amino_acid,Tyrosine metabolism,Glutathione Transferase,protein_amino_acid :: Tyrosine metabolism :: Glutathione Transferase,18,18,5,5,0,0,0,0,1.0,0.2777777777777778,0.2777777777777778,,13,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,"Flavonoid, isoflavonoid, and polyphenol metabolism","lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)","small_molecule_polyphenol :: Flavonoid, isoflavonoid, and polyphenol metabolism :: lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)",16,16,5,0,0,0,0,0,1.0,0.3125,0.0,,11,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Androgen and estrogen synthesis and metabolism,Catechol O-Methyltransferase,small_molecule_polyphenol :: Androgen and estrogen synthesis and metabolism :: Catechol O-Methyltransferase,12,12,1,1,0,0,0,0,1.0,0.08333333333333333,0.08333333333333333,,11,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid synthesis,Butyrate Coenzyme A Ligase,lipid_fat :: Fatty acid synthesis :: Butyrate Coenzyme A Ligase,13,12,2,2,0,0,0,0,0.9230769230769231,0.16666666666666666,0.16666666666666666,,10,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Steroid metabolism,Steryl-Sulfatase,lipid_fat :: Steroid metabolism :: Steryl-Sulfatase,13,13,3,5,1,1,0,0,1.0,0.23076923076923078,0.38461538461538464,1.0,10,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Eicosanoid metabolism,Enoyl Coenzyme A Hydratase,small_molecule_polyphenol :: Eicosanoid metabolism :: Enoyl Coenzyme A Hydratase,10,10,1,1,0,0,0,0,1.0,0.1,0.1,,9,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Eicosanoid metabolism,Leukotriene-B4 20-Monooxygenase,small_molecule_polyphenol :: Eicosanoid metabolism :: Leukotriene-B4 20-Monooxygenase,9,9,0,2,0,0,0,0,1.0,0.0,0.2222222222222222,,9,add_or_import_family_rules_before_retraining
D,lipid_fat,Fatty acid oxidation,Acyl Coenzyme A Oxidase,lipid_fat :: Fatty acid oxidation :: Acyl Coenzyme A Oxidase,28,26,18,19,0,0,0,0,0.9285714285714286,0.6923076923076923,0.7307692307692307,,8,curate_more_literature_or_database_supported_pairs
D,lipid_fat,Bile acid synthesis,Cholestanetriol 26-Monooxygenase,lipid_fat :: Bile acid synthesis :: Cholestanetriol 26-Monooxygenase,12,12,4,7,2,2,0,0,1.0,0.3333333333333333,0.5833333333333334,1.0,8,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid oxidation,Beta Oxidation of Long Chain Fatty Acid,lipid_fat :: Fatty acid oxidation :: Beta Oxidation of Long Chain Fatty Acid,12,12,4,6,0,0,0,0,1.0,0.3333333333333333,0.5,,8,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid oxidation,Long-Chain-Fatty-Acid- Coenzyme A Ligase,lipid_fat :: Fatty acid oxidation :: Long-Chain-Fatty-Acid- Coenzyme A Ligase,12,12,4,4,0,0,0,0,1.0,0.3333333333333333,0.3333333333333333,,8,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Urea cycle,Deoxyhypusine Synthase,small_molecule_polyphenol :: Urea cycle :: Deoxyhypusine Synthase,9,8,0,0,0,0,0,0,0.8888888888888888,0.0,0.0,,8,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Eicosanoid metabolism,Acetyl Coenzyme A C-Acyltransferase,small_molecule_polyphenol :: Eicosanoid metabolism :: Acetyl Coenzyme A C-Acyltransferase,8,8,0,0,0,0,0,0,1.0,0.0,0.0,,8,add_or_import_family_rules_before_retraining
C,protein_amino_acid,Tyrosine metabolism,NADPH:Quinone Reductase,protein_amino_acid :: Tyrosine metabolism :: NADPH:Quinone Reductase,8,8,0,1,0,0,0,0,1.0,0.0,0.125,,8,add_or_import_family_rules_before_retraining
D,lipid_fat,Cholesterol metabolism,Steryl-Ester Acylhydrolase,lipid_fat :: Cholesterol metabolism :: Steryl-Ester Acylhydrolase,21,21,14,14,0,0,0,0,1.0,0.6666666666666666,0.6666666666666666,,7,curate_more_literature_or_database_supported_pairs
A,small_molecule_polyphenol,"Glycine, serine, alanine, and threonine metabolism",Glycine N-Acyltransferase,"small_molecule_polyphenol :: Glycine, serine, alanine, and threonine metabolism :: Glycine N-Acyltransferase",15,11,4,4,0,0,0,0,0.7333333333333333,0.36363636363636365,0.36363636363636365,,7,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Eicosanoid metabolism,Palmitoyl Coenzyme A Hydrolase,small_molecule_polyphenol :: Eicosanoid metabolism :: Palmitoyl Coenzyme A Hydrolase,10,10,3,3,0,0,0,0,1.0,0.3,0.3,,7,trace_rule_generation_sampling_and_drop_filters
C,protein_amino_acid,Phenylalanine metabolism,Thyroxine 5'-Deiodinase,protein_amino_acid :: Phenylalanine metabolism :: Thyroxine 5'-Deiodinase,10,10,3,2,0,0,0,0,1.0,0.3,0.2,,7,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid synthesis,Stearoyl Coenzyme A 9-Desaturase,lipid_fat :: Fatty acid synthesis :: Stearoyl Coenzyme A 9-Desaturase,10,10,3,3,0,0,0,0,1.0,0.3,0.3,,7,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Nucleotide interconversion,"Thymidylate synthase  (Flavin-dependent, NAD)","small_molecule_polyphenol :: Nucleotide interconversion :: Thymidylate synthase  (Flavin-dependent, NAD)",9,9,2,1,0,0,0,0,1.0,0.2222222222222222,0.1111111111111111,,7,trace_rule_generation_sampling_and_drop_filters
C,protein_amino_acid,Tyrosine metabolism,Steryl-Sulfatase,protein_amino_acid :: Tyrosine metabolism :: Steryl-Sulfatase,9,9,2,4,0,0,0,0,1.0,0.2222222222222222,0.4444444444444444,,7,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Eicosanoid metabolism,Carbonyl Reductase (NADPH),small_molecule_polyphenol :: Eicosanoid metabolism :: Carbonyl Reductase (NADPH),8,8,1,0,0,0,0,0,1.0,0.125,0.0,,7,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Leukotriene metabolism,Carbonyl Reductase (NADPH),small_molecule_polyphenol :: Leukotriene metabolism :: Carbonyl Reductase (NADPH),8,8,1,0,0,0,0,0,1.0,0.125,0.0,,7,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Vitamin E metabolism,Leukotriene-B4 20-Monooxygenase,small_molecule_polyphenol :: Vitamin E metabolism :: Leukotriene-B4 20-Monooxygenase,7,7,0,2,0,0,0,0,1.0,0.0,0.2857142857142857,,7,add_or_import_family_rules_before_retraining
C,protein_amino_acid,Tryptophan metabolism,Kynurenine-Oxoglutarate Transaminase,protein_amino_acid :: Tryptophan metabolism :: Kynurenine-Oxoglutarate Transaminase,7,7,0,1,0,0,0,0,1.0,0.0,0.14285714285714285,,7,add_or_import_family_rules_before_retraining
D,lipid_fat,Fatty acid oxidation,Long-Chain-Fatty-Acid---Coa Ligase,lipid_fat :: Fatty acid oxidation :: Long-Chain-Fatty-Acid---Coa Ligase,7,7,0,0,0,0,0,0,1.0,0.0,0.0,,7,add_or_import_family_rules_before_retraining
D,lipid_fat,Fatty acid oxidation,Palmitoyl Coenzyme A:L-Carnitine O-Palmitoyltransferase,lipid_fat :: Fatty acid oxidation :: Palmitoyl Coenzyme A:L-Carnitine O-Palmitoyltransferase,14,14,8,8,0,0,0,0,1.0,0.5714285714285714,0.5714285714285714,,6,curate_more_literature_or_database_supported_pairs
D,lipid_fat,Bile acid synthesis,Bile Acid-CoA:Amino Acid N-Acyltransferase,lipid_fat :: Bile acid synthesis :: Bile Acid-CoA:Amino Acid N-Acyltransferase,12,11,5,3,0,0,0,0,0.9166666666666666,0.45454545454545453,0.2727272727272727,,6,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid oxidation,Carnitine Fatty-Acyl Transferase,lipid_fat :: Fatty acid oxidation :: Carnitine Fatty-Acyl Transferase,12,11,5,5,0,0,0,0,0.9166666666666666,0.45454545454545453,0.45454545454545453,,6,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid synthesis,Very-Long-Chain Enoyl Coenzyme A Reductase,lipid_fat :: Fatty acid synthesis :: Very-Long-Chain Enoyl Coenzyme A Reductase,12,12,6,7,0,0,0,0,1.0,0.5,0.5833333333333334,,6,curate_more_literature_or_database_supported_pairs
A,small_molecule_polyphenol,Eicosanoid metabolism,3-Hydroxyacyl Coenzyme A Dehydrogenase,small_molecule_polyphenol :: Eicosanoid metabolism :: 3-Hydroxyacyl Coenzyme A Dehydrogenase,10,10,4,1,0,0,0,0,1.0,0.4,0.1,,6,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Steroid metabolism,"UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal","lipid_fat :: Steroid metabolism :: UDP-Glucuronosyltransferase 1-10 Precursor, Microsomal",10,9,3,1,0,0,0,0,0.9,0.3333333333333333,0.1111111111111111,,6,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Phosphatidylinositol phosphate metabolism,"Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase","small_molecule_polyphenol :: Phosphatidylinositol phosphate metabolism :: Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase",9,9,3,3,0,0,0,0,1.0,0.3333333333333333,0.3333333333333333,,6,trace_rule_generation_sampling_and_drop_filters
C,protein_amino_acid,Tyrosine metabolism,Tyrosine Transaminase,protein_amino_acid :: Tyrosine metabolism :: Tyrosine Transaminase,8,8,2,3,0,0,0,0,1.0,0.25,0.375,,6,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Miscellaneous,Thimet Oligopeptidase,small_molecule_polyphenol :: Miscellaneous :: Thimet Oligopeptidase,7,7,1,1,0,0,0,0,1.0,0.14285714285714285,0.14285714285714285,,6,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Eicosanoid metabolism,Prostaglandin-Endoperoxide Synthase,lipid_fat :: Eicosanoid metabolism :: Prostaglandin-Endoperoxide Synthase,7,7,1,6,0,0,0,0,1.0,0.14285714285714285,0.8571428571428571,,6,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Androgen and estrogen synthesis and metabolism,Steryl-Sulfatase,small_molecule_polyphenol :: Androgen and estrogen synthesis and metabolism :: Steryl-Sulfatase,6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Arachidonic acid metabolism,Arachidonate 5-Lipoxygenase,small_molecule_polyphenol :: Arachidonic acid metabolism :: Arachidonate 5-Lipoxygenase,6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Eicosanoid metabolism,Gamma-Glutamyltransferase,small_molecule_polyphenol :: Eicosanoid metabolism :: Gamma-Glutamyltransferase,6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Folate metabolism,Folylpolyglutamate Synthetase,small_molecule_polyphenol :: Folate metabolism :: Folylpolyglutamate Synthetase,6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Folate metabolism,Folylpolyglutamate Synthetase (10Fthf),small_molecule_polyphenol :: Folate metabolism :: Folylpolyglutamate Synthetase (10Fthf),6,6,0,1,0,0,0,0,1.0,0.0,0.16666666666666666,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Folate metabolism,"Folylpolyglutamate Synthetase (10Fthf), Mitochondrial","small_molecule_polyphenol :: Folate metabolism :: Folylpolyglutamate Synthetase (10Fthf), Mitochondrial",6,6,0,1,0,0,0,0,1.0,0.0,0.16666666666666666,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Folate metabolism,Folylpolyglutamate Synthetase (Dhf),small_molecule_polyphenol :: Folate metabolism :: Folylpolyglutamate Synthetase (Dhf),6,6,0,1,0,0,0,0,1.0,0.0,0.16666666666666666,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Folate metabolism,"Folylpolyglutamate Synthetase (Dhf), Mitochondrial","small_molecule_polyphenol :: Folate metabolism :: Folylpolyglutamate Synthetase (Dhf), Mitochondrial",6,6,0,1,0,0,0,0,1.0,0.0,0.16666666666666666,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Folate metabolism,"Folylpolyglutamate Synthetase, Mitochondrial","small_molecule_polyphenol :: Folate metabolism :: Folylpolyglutamate Synthetase, Mitochondrial",6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Sulfur metabolism,"AMP,sulfite:(FAD) oxidoreductase","small_molecule_polyphenol :: Sulfur metabolism :: AMP,sulfite:(FAD) oxidoreductase",6,6,0,0,1,0,0,0,1.0,0.0,0.0,0.0,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Terpenoid backbone biosynthesis,geranylgeranyltransferase,small_molecule_polyphenol :: Terpenoid backbone biosynthesis :: geranylgeranyltransferase,6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Ubiquinone and other terpenoid-quinone biosynthesis,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,small_molecule_polyphenol :: Ubiquinone and other terpenoid-quinone biosynthesis :: 2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Urea cycle,Gamma-Glutamylcyclotransferase,small_molecule_polyphenol :: Urea cycle :: Gamma-Glutamylcyclotransferase,6,6,0,1,0,0,0,0,1.0,0.0,0.16666666666666666,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Xenobiotics metabolism,Penicillin amidohydrolase,small_molecule_polyphenol :: Xenobiotics metabolism :: Penicillin amidohydrolase,6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Xenobiotics metabolism,Unspecific Monooxygenase,small_molecule_polyphenol :: Xenobiotics metabolism :: Unspecific Monooxygenase,6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Xenobiotics metabolism,"cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase","small_molecule_polyphenol :: Xenobiotics metabolism :: cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase",6,6,0,2,0,0,0,0,1.0,0.0,0.3333333333333333,,6,add_or_import_family_rules_before_retraining
C,protein_amino_acid,CoA synthesis,(R)-4-Phosphopantothenate:L-Cysteine Ligase Ec:6.3.2.5,protein_amino_acid :: CoA synthesis :: (R)-4-Phosphopantothenate:L-Cysteine Ligase Ec:6.3.2.5,6,6,0,4,1,1,0,0,1.0,0.0,0.6666666666666666,1.0,6,add_or_import_family_rules_before_retraining
C,protein_amino_acid,"Valine, leucine, and isoleucine metabolism",3-isopropylmalate dehydrogenase,"protein_amino_acid :: Valine, leucine, and isoleucine metabolism :: 3-isopropylmalate dehydrogenase",6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
C,protein_amino_acid,"Valine, leucine, and isoleucine metabolism",LPAMMBT,"protein_amino_acid :: Valine, leucine, and isoleucine metabolism :: LPAMMBT",6,6,0,0,0,0,0,0,1.0,0.0,0.0,,6,add_or_import_family_rules_before_retraining
C,protein_amino_acid,"Valine, leucine, and isoleucine metabolism",LPAMMBT2,"protein_amino_acid :: Valine, leucine, and isoleucine metabolism :: LPAMMBT2",6,6,0,0,1,1,0,0,1.0,0.0,0.0,1.0,6,add_or_import_family_rules_before_retraining
C,protein_amino_acid,Histone phosphorylation,Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase,protein_amino_acid :: Histone phosphorylation :: Protein-N(pai)-phosphohistidine:sugar N(pai)-phosphotransferase,20,11,6,0,0,0,0,0,0.55,0.5454545454545454,0.0,,5,curate_more_literature_or_database_supported_pairs
D,lipid_fat,Fatty acid synthesis,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,lipid_fat :: Fatty acid synthesis :: Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,13,13,8,7,0,0,0,0,1.0,0.6153846153846154,0.5384615384615384,,5,curate_more_literature_or_database_supported_pairs
D,lipid_fat,Fatty acid oxidation,Dodecenoyl Coenzyme A Isomerase,lipid_fat :: Fatty acid oxidation :: Dodecenoyl Coenzyme A Isomerase,10,10,5,6,0,0,0,0,1.0,0.5,0.6,,5,curate_more_literature_or_database_supported_pairs
C,protein_amino_acid,Methionine and cysteine metabolism,O-Acetyl-L-homoserine acetate-lyase,protein_amino_acid :: Methionine and cysteine metabolism :: O-Acetyl-L-homoserine acetate-lyase,9,9,4,2,1,0,0,0,1.0,0.4444444444444444,0.2222222222222222,0.0,5,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Fatty acid synthesis,Palmitoyl Coenzyme A Hydrolase,lipid_fat :: Fatty acid synthesis :: Palmitoyl Coenzyme A Hydrolase,9,8,3,3,2,1,0,0,0.8888888888888888,0.375,0.375,0.5,5,trace_rule_generation_sampling_and_drop_filters
C,protein_amino_acid,Lysine metabolism,Lysine biosynthesis AAA pathway 2/AcetylCoA to Lysine,protein_amino_acid :: Lysine metabolism :: Lysine biosynthesis AAA pathway 2/AcetylCoA to Lysine,8,8,3,1,0,0,0,0,1.0,0.375,0.125,,5,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase","small_molecule_polyphenol :: Blood group synthesis :: Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",7,5,0,0,0,0,0,0,0.7142857142857143,0.0,0.0,,5,add_or_import_family_rules_before_retraining
A,small_molecule_polyphenol,Citric acid cycle,3-Carboxy-1-hydroxypropyl-ThPP:lipoamide,small_molecule_polyphenol :: Citric acid cycle :: 3-Carboxy-1-hydroxypropyl-ThPP:lipoamide,7,6,1,0,0,0,0,0,0.8571428571428571,0.16666666666666666,0.0,,5,trace_rule_generation_sampling_and_drop_filters
C,protein_amino_acid,Phenylalanine metabolism,Phenylalanine Transaminase,protein_amino_acid :: Phenylalanine metabolism :: Phenylalanine Transaminase,7,7,2,2,0,0,0,0,1.0,0.2857142857142857,0.2857142857142857,,5,trace_rule_generation_sampling_and_drop_filters
D,lipid_fat,Glycerophospholipid metabolism,Phosphatidylserine Synthase Homo Sapiens,lipid_fat :: Glycerophospholipid metabolism :: Phosphatidylserine Synthase Homo Sapiens,7,7,2,2,0,0,0,0,1.0,0.2857142857142857,0.2857142857142857,,5,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Arachidonic acid metabolism,Arachidonate 12-Lipoxygenase,small_molecule_polyphenol :: Arachidonic acid metabolism :: Arachidonate 12-Lipoxygenase,6,6,1,2,0,0,0,0,1.0,0.16666666666666666,0.3333333333333333,,5,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Arachidonic acid metabolism,Microsomal Epoxide Hydrolase,small_molecule_polyphenol :: Arachidonic acid metabolism :: Microsomal Epoxide Hydrolase,6,6,1,1,0,0,0,0,1.0,0.16666666666666666,0.16666666666666666,,5,trace_rule_generation_sampling_and_drop_filters
A,small_molecule_polyphenol,Citric acid cycle,Succinate--CoA ligase (GDP forming),small_molecule_polyphenol :: Citric acid cycle :: Succinate--CoA ligase (GDP forming),6,6,1,1,0,0,0,0,1.0,0.16666666666666666,0.16666666666666666,,5,trace_rule_generation_sampling_and_drop_filters
